family,half,seed_set,design,stage,contrast,point,margin,verdict,item,name,status,detail,sensitivity_set,sensitivities_not_run,key
primary,selection,discovery,V5,discovery,M2 vs B3i,0.262976,0.105689,UNDECIDED,1,point_estimate_at_least_margin,PASS,"Delta=0.262976, margin=0.105689",,,M2 vs B3i@V5
primary,selection,discovery,V5,discovery,M2 vs B3i,0.262976,0.105689,UNDECIDED,2,intervals_exclude_zero_every_cluster_unit,PASS,"cluster units ['system', 'publication_group']",,,M2 vs B3i@V5
primary,selection,discovery,V5,discovery,M2 vs B3i,0.262976,0.105689,UNDECIDED,3,two_sided_p_below_0.05_every_cluster_unit,PASS,every registered cluster unit: system: p=0.004; publication_group: p=0.0018,,,M2 vs B3i@V5
primary,selection,discovery,V5,discovery,M2 vs B3i,0.262976,0.105689,UNDECIDED,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,M2 vs B3i@V5
primary,selection,discovery,V5,discovery,M2 vs B3i,0.262976,0.105689,UNDECIDED,5,leave_one_cluster_out_stays_positive,PASS,"cluster units ['system', 'publication_group']",,,M2 vs B3i@V5
primary,selection,discovery,V5,discovery,M2 vs B3i,0.262976,0.105689,UNDECIDED,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['HNO3_only_cells', 'acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'non_DGA_stratum', 'strict_setting', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",M2 vs B3i@V5
H1b,selection,discovery,V5,discovery,B6 vs B3i,-0.104441,0.105689,FAIL,1,point_estimate_at_least_margin,FAIL,"Delta=-0.104441, margin=0.105689",,,B6 vs B3i@V5
H1b,selection,discovery,V5,discovery,B6 vs B3i,-0.104441,0.105689,FAIL,2,intervals_exclude_zero_every_cluster_unit,FAIL,system: percentile low -0.207617; system: BCa low -0.206615; publication_group: percentile low -0.230325; publication_group: BCa low -0.21415,,,B6 vs B3i@V5
H1b,selection,discovery,V5,discovery,B6 vs B3i,-0.104441,0.105689,FAIL,3,two_sided_p_below_0.05_every_cluster_unit,FAIL,system: p=0.055 (not < 0.05); publication_group: p=0.1494 (not < 0.05),,,B6 vs B3i@V5
H1b,selection,discovery,V5,discovery,B6 vs B3i,-0.104441,0.105689,FAIL,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,B6 vs B3i@V5
H1b,selection,discovery,V5,discovery,B6 vs B3i,-0.104441,0.105689,FAIL,5,leave_one_cluster_out_stays_positive,FAIL,system: 18 of 18 deltas <= 0 (min -0.123959); publication_group: 27 of 27 deltas <= 0 (min -0.158833),,,B6 vs B3i@V5
H1b,selection,discovery,V5,discovery,B6 vs B3i,-0.104441,0.105689,FAIL,6,positive_in_every_registered_sensitivity,FAIL,"reduced sensitivity set (addendum 1): HNO3_only_cells: Delta=-0.115042; acid_grid_rows_excluded: Delta=-0.104661; censoring_candidates_excluded_scoring: Delta=-0.0986713; non_DGA_stratum: Delta=-0.233452; strict_setting: Delta=-0.106177; wildcard_copies_excluded_scoring: Delta=-0.101667; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",B6 vs B3i@V5
S1(b),selection,discovery,V5,discovery,M2 vs B0,1.02215,0.05,UNDECIDED,1,point_estimate_at_least_margin,PASS,"Delta=1.02215, margin=0.05",,,M2 vs B0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B0,1.02215,0.05,UNDECIDED,2,intervals_exclude_zero_every_cluster_unit,PASS,"cluster units ['system', 'publication_group']",,,M2 vs B0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B0,1.02215,0.05,UNDECIDED,3,two_sided_p_below_0.05_every_cluster_unit,PASS,every registered cluster unit: system: p=0; publication_group: p=0,,,M2 vs B0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B0,1.02215,0.05,UNDECIDED,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,M2 vs B0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B0,1.02215,0.05,UNDECIDED,5,leave_one_cluster_out_stays_positive,PASS,"cluster units ['system', 'publication_group']",,,M2 vs B0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B0,1.02215,0.05,UNDECIDED,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['HNO3_only_cells', 'acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'non_DGA_stratum', 'strict_setting', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",M2 vs B0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B6r0,0.455132,0.05,UNDECIDED,1,point_estimate_at_least_margin,PASS,"Delta=0.455132, margin=0.05",,,M2 vs B6r0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B6r0,0.455132,0.05,UNDECIDED,2,intervals_exclude_zero_every_cluster_unit,PASS,"cluster units ['system', 'publication_group']",,,M2 vs B6r0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B6r0,0.455132,0.05,UNDECIDED,3,two_sided_p_below_0.05_every_cluster_unit,PASS,every registered cluster unit: system: p=0.0002; publication_group: p=0,,,M2 vs B6r0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B6r0,0.455132,0.05,UNDECIDED,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,M2 vs B6r0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B6r0,0.455132,0.05,UNDECIDED,5,leave_one_cluster_out_stays_positive,PASS,"cluster units ['system', 'publication_group']",,,M2 vs B6r0@V5
S1(b),selection,discovery,V5,discovery,M2 vs B6r0,0.455132,0.05,UNDECIDED,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['HNO3_only_cells', 'acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'non_DGA_stratum', 'strict_setting', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",M2 vs B6r0@V5
H4,selection,discovery,V5,discovery,M2 vs FLAT_CAT,0.102763,0.105689,FAIL,1,point_estimate_at_least_margin,FAIL,"Delta=0.102763, margin=0.105689",,,M2 vs FLAT_CAT@V5
H4,selection,discovery,V5,discovery,M2 vs FLAT_CAT,0.102763,0.105689,FAIL,2,intervals_exclude_zero_every_cluster_unit,FAIL,system: percentile low -0.0408482; system: BCa low -0.0875747; publication_group: percentile low -0.0395083; publication_group: BCa low -0.120037,,,M2 vs FLAT_CAT@V5
H4,selection,discovery,V5,discovery,M2 vs FLAT_CAT,0.102763,0.105689,FAIL,3,two_sided_p_below_0.05_every_cluster_unit,FAIL,system: p=0.132 (not < 0.05); publication_group: p=0.123 (not < 0.05),,,M2 vs FLAT_CAT@V5
H4,selection,discovery,V5,discovery,M2 vs FLAT_CAT,0.102763,0.105689,FAIL,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,M2 vs FLAT_CAT@V5
H4,selection,discovery,V5,discovery,M2 vs FLAT_CAT,0.102763,0.105689,FAIL,5,leave_one_cluster_out_stays_positive,PASS,"cluster units ['system', 'publication_group']",,,M2 vs FLAT_CAT@V5
H4,selection,discovery,V5,discovery,M2 vs FLAT_CAT,0.102763,0.105689,FAIL,6,positive_in_every_registered_sensitivity,PASS,"reduced sensitivity set (addendum 1): positive in every sensitivity of the reduced set ['HNO3_only_cells', 'acid_grid_rows_excluded', 'censoring_candidates_excluded_scoring', 'non_DGA_stratum', 'strict_setting', 'wildcard_copies_excluded_scoring']; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",M2 vs FLAT_CAT@V5
H4,selection,discovery,V5,discovery,M2 vs M0,-0.15415,0.105689,FAIL,1,point_estimate_at_least_margin,FAIL,"Delta=-0.15415, margin=0.105689",,,M2 vs M0@V5
H4,selection,discovery,V5,discovery,M2 vs M0,-0.15415,0.105689,FAIL,2,intervals_exclude_zero_every_cluster_unit,FAIL,system: percentile low -0.296508; system: BCa low -0.348082; publication_group: percentile low -0.283353; publication_group: BCa low -0.345052,,,M2 vs M0@V5
H4,selection,discovery,V5,discovery,M2 vs M0,-0.15415,0.105689,FAIL,3,two_sided_p_below_0.05_every_cluster_unit,PASS,every registered cluster unit: system: p=0; publication_group: p=0,,,M2 vs M0@V5
H4,selection,discovery,V5,discovery,M2 vs M0,-0.15415,0.105689,FAIL,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,M2 vs M0@V5
H4,selection,discovery,V5,discovery,M2 vs M0,-0.15415,0.105689,FAIL,5,leave_one_cluster_out_stays_positive,FAIL,system: 18 of 18 deltas <= 0 (min -0.180902); publication_group: 27 of 27 deltas <= 0 (min -0.169153),,,M2 vs M0@V5
H4,selection,discovery,V5,discovery,M2 vs M0,-0.15415,0.105689,FAIL,6,positive_in_every_registered_sensitivity,FAIL,"reduced sensitivity set (addendum 1): HNO3_only_cells: Delta=-0.0844287; acid_grid_rows_excluded: Delta=-0.151381; censoring_candidates_excluded_scoring: Delta=-0.155098; non_DGA_stratum: Delta=-0.205283; strict_setting: Delta=-0.0644504; wildcard_copies_excluded_scoring: Delta=-0.155973; not run (addendum 1 item 4): ['V5-P', 'V5-cell-only', 'loose_setting', 'parent_structure_hiding', 'sr_iii_dropped_training']",reduced sensitivity set (addendum 1),"V5-P, V5-cell-only, loose_setting, parent_structure_hiding, sr_iii_dropped_training",M2 vs M0@V5
H4,selection,discovery,V5,discovery,B6 vs B6r0,0.0877141,0.105689,FAIL,1,point_estimate_at_least_margin,FAIL,"Delta=0.0877141, margin=0.105689",,,B6 vs B6r0@V5
H4,selection,discovery,V5,discovery,B6 vs B6r0,0.0877141,0.105689,FAIL,2,intervals_exclude_zero_every_cluster_unit,FAIL,system: percentile low -0.0293509; system: BCa low -0.0149776; publication_group: percentile low -0.0353771; publication_group: BCa low -0.0198247,,,B6 vs B6r0@V5
H4,selection,discovery,V5,discovery,B6 vs B6r0,0.0877141,0.105689,FAIL,3,two_sided_p_below_0.05_every_cluster_unit,FAIL,system: p=0.1356 (not < 0.05); publication_group: p=0.1686 (not < 0.05),,,B6 vs B6r0@V5
H4,selection,discovery,V5,discovery,B6 vs B6r0,0.0877141,0.105689,FAIL,4,seed_sign_agreement,NOT_EVALUATED,"addendum 1 item 3: learned arms run discovery seed 104729 only, so seed consistency is NOT_EVALUATED in discovery; at confirmation R19 item 4 (5 of 5 withheld seeds) is unchanged and required",,,B6 vs B6r0@V5
H4,selection,discovery,V5,discovery,B6 vs B6r0,0.0877141,0.105689,FAIL,5,leave_one_cluster_out_stays_positive,PASS,"cluster units ['system', 'publication_group']",,,B6 vs B6r0@V5
